sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
4.6,20.0,3.0,0.23,6.67,1.39,710.0,,,,,,
73.2,120.0,5.0,0.61,24.0,5.1,710.0,,,,,,
30.0,30.0,2.67,1.0,11.2,2.03,710.0,,,,,,
15.2,53.8,5.56,0.283,9.68,1.92,710.0,,,,,,
88.9,142.0,13.2,0.627,10.7,3.62,710.0,,,,,,
59.82,85.8,7.31,0.697,11.7,2.78,710.0,,,,,,
32.3,67.4,6.7,0.479,10.1,1.1,710.0,,,,,,
30.1,88.7,3.7,0.34,23.97,6.6,710.0,,,,,,
18.8,171.5,6.3,0.11,27.22,7.0,710.0,,,,,,
34.0,149.0,5.9,0.23,25.25,7.6,710.0,,,,,,
38.2,53.0,3.9,0.72,13.59,1.6,710.0,,,,,,
11.3,90.0,4.8,0.13,18.78,3.6,710.0,,,,,,
92.0,263.0,10.7,0.35,24.58,8.0,710.0,,,,,,
62.4,235.0,9.5,0.27,24.74,9.0,710.0,,,,,,
43.4,136.5,7.2,0.32,18.96,5.6,710.0,,,,,,
11.0,105.0,4.9,0.1,21.43,4.7,710.0,,,,,,
46.4,100.0,4.9,0.464,20.4,2.0,710.0,,,,,,
23.0,80.0,3.0,0.29,26.8,0.85,710.0,,,,,,
46.2,105.0,5.3,0.436,19.7,2.3,710.0,,,,,,
13.9,124.0,4.22,0.112,29.4,2.04,710.0,,,,,,
17.4,161.0,3.98,0.139,31.4,2.19,710.0,,,,,,
19.0,153.0,4.48,0.151,28.1,2.11,710.0,,,,,,
19.7,142.0,4.55,0.155,27.9,2.26,710.0,,,,,,
18.7,82.0,10.9,0.23,7.52,1.5,710.0,,,,,,
28.6,122.0,12.0,0.23,10.22,2.5,710.0,,,,,,
29.8,132.0,11.5,0.23,11.52,4.6,710.0,,,,,,
33.6,156.0,10.8,0.22,14.45,5.2,710.0,,,,,,
26.9,92.8,9.47,0.29,9.8,3.7,710.0,,,,,,
55.9,128.0,6.29,0.44,20.3,8.1,710.0,,,,,,
59.9,96.6,11.7,0.62,8.26,1.8,710.0,,,,,,
68.0,107.0,6.1,0.64,17.51,7.2,710.0,,,,,,
105.5,187.0,19.2,0.56,9.74,7.27,710.0,,,,,,
105.5,170.0,12.1,0.62,14.05,5.76,710.0,,,,,,
105.5,190.0,17.1,0.55,11.11,3.97,710.0,,,,,,
47.56,58.5,3.5,0.81,16.71,5.0,710.0,,,,,,
43.62,78.1,3.2,0.56,24.41,6.0,710.0,,,,,,
25.7,59.7,1.3,0.43,45.9,1.7,710.0,,,,,,
