sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
34.89,151.7,10.66,0.23,14.23,3.17,644.0,1.0,,,,,
16.21,135.07,10.33,0.12,13.08,2.49,692.0,1.0,,,,,
30.56,160.83,11.06,0.19,14.54,3.63,970.0,3.0,,,,,
19.36,113.87,4.43,0.17,25.7,2.38,1107.0,1.0,,,,,
33.15,106.94,2.98,0.31,35.89,2.15,1205.0,2.0,,,,,
9.74,88.51,2.98,0.11,29.7,1.77,1184.0,0.0,,,,,
11.75,83.96,2.98,0.14,28.17,2.15,1373.0,0.0,,,,,
39.94,117.48,2.98,0.34,39.42,2.37,1689.0,1.0,,,,,
39.82,128.46,2.98,0.31,43.11,2.4,1606.0,2.0,,,,,
46.22,140.07,2.01,0.33,69.69,3.29,1220.0,1.0,,,,,
30.95,123.79,12.67,0.25,9.77,2.57,920.0,1.0,,,,,
40.99,186.3,12.67,0.22,14.7,4.1,785.0,2.0,,,,,
20.82,122.47,12.67,0.17,9.67,2.81,772.0,1.0,,,,,
36.09,164.05,12.67,0.22,12.95,3.59,644.0,2.0,,,,,
50.6,63.83,5.06,0.79,12.61,2.23,682.0,1.0,,,,,
50.6,85.36,4.91,0.59,17.38,3.41,682.0,1.0,,,,,
50.6,104.97,6.18,0.48,16.99,10.9,682.0,3.0,,,,,
42.4,50.0,6.1,0.85,8.2,5.3,610.0,1.0,,,,,
18.2,60.0,1.9,0.3,31.58,2.84,400.0,1.0,,,,,
53.0,147.2,7.18,0.36,20.5,5.0,290.0,2.0,,,,,
12.0,30.0,5.58,0.11,5.38,5.1,380.0,0.0,,,,,
57.97,96.16,3.77,0.46,25.51,2.53,700.0,1.0,,,,,
57.97,70.68,4.19,0.6,16.87,2.87,700.0,1.0,,,,,
40.87,139.0,6.0,0.29,23.17,0.81,437.0,0.0,,,,,
29.04,124.15,5.0,0.23,24.83,4.39,240.0,0.0,,,,,
50.09,124.0,5.0,0.4,24.8,6.53,490.0,1.0,,,,,
59.09,88.25,3.6,0.67,24.51,6.14,720.0,2.0,,,,,
40.9,88.25,3.6,0.46,24.51,4.61,470.0,1.0,,,,,
22.93,88.25,3.6,0.26,24.51,0.81,220.0,0.0,,,,,
54.2,134.0,9.09,0.4,15.0,7.08,900.0,2.0,,,,,
70.3,129.0,8.73,0.55,11.4,6.43,1000.0,2.0,,,,,
35.0,133.4,9.3,0.26,14.34,2.9,204.0,1.0,,,,,
26.9,62.8,2.1,0.42,29.9,2.4,374.0,1.0,,,,,
40.4,72.1,2.1,0.56,34.3,1.9,775.0,1.0,,,,,
39.4,65.2,2.3,0.6,28.3,3.4,799.0,2.0,,,,,
38.2,71.4,3.4,0.53,21.0,3.6,811.0,2.0,,,,,
45.7,69.1,3.2,0.66,21.5,4.1,816.0,2.0,,,,,
35.8,67.8,3.8,0.52,17.8,4.3,841.0,2.0,,,,,
39.4,96.2,2.7,0.57,25.6,3.8,959.0,2.0,,,,,
40.6,66.6,2.6,0.61,25.6,3.7,984.0,2.0,,,,,
39.0,70.1,2.4,0.56,29.2,4.8,1112.0,2.0,,,,,
57.2,80.6,2.5,0.71,32.2,5.5,981.0,3.0,,,,,
55.6,114.0,2.3,0.49,49.5,4.7,808.0,2.0,,,,,
56.9,123.0,2.7,0.26,42.9,3.7,799.0,1.0,,,,,
62.1,132.0,2.4,0.47,55.0,5.0,768.0,2.0,,,,,
29.7,116.0,2.7,0.26,42.9,3.7,764.0,1.0,,,,,
29.1,94.0,2.6,0.31,36.1,3.2,760.0,1.0,,,,,
27.8,90.0,2.1,0.31,42.8,1.8,729.0,0.0,,,,,
30.3,88.0,3.1,0.34,28.3,3.0,724.0,1.0,,,,,
55.6,114.0,2.3,0.49,49.5,4.7,808.0,2.0,,,,,
41.6,67.6,2.7,0.61,25.0,3.7,1048.0,2.0,,,,,
40.1,72.1,2.3,0.55,31.3,4.6,1074.0,2.0,,,,,
58.2,83.6,2.6,0.69,32.1,5.9,980.0,3.0,,,,,
56.8,112.0,2.2,0.5,50.9,5.2,839.0,2.0,,,,,
17.39,102.3,1.3,0.17,78.69,6.58,369.0,2.0,,,,,
17.02,85.09,1.3,0.2,65.45,6.14,369.0,2.0,,,,,
16.7,83.5,1.3,0.2,64.23,6.53,373.0,2.0,,,,,
17.35,86.77,1.3,0.2,66.75,3.22,373.0,2.0,,,,,
16.87,80.33,1.3,0.21,61.79,6.92,374.0,2.0,,,,,
13.9,124.0,4.22,0.11,29.4,2.04,304.0,0.0,,,,,
17.4,161.0,3.98,0.14,31.4,2.19,274.0,1.0,,,,,
19.0,153.0,4.48,0.15,28.1,2.11,354.0,1.0,,,,,
47.56,58.5,3.5,0.81,16.7,5.0,900.0,1.0,,,,,
43.62,78.1,3.2,0.56,24.41,6.0,1030.0,1.0,,,,,
47.56,80.3,3.5,0.59,22.94,5.0,1032.0,2.0,,,,,
44.71,82.4,4.7,0.54,17.53,6.6,900.0,2.0,,,,,
26.9,62.8,2.1,0.43,29.9,2.4,374.0,1.0,,,,,
40.4,72.1,2.1,0.56,34.33,1.9,775.0,1.0,,,,,
40.4,72.1,2.1,0.56,34.33,1.9,775.0,1.0,,,,,
39.4,65.2,2.3,0.6,28.35,3.4,799.0,2.0,,,,,
38.2,71.4,3.4,0.54,21.0,3.6,811.0,2.0,,,,,
45.7,69.1,3.2,0.66,21.59,4.1,816.0,2.0,,,,,
35.8,67.8,3.8,0.53,17.84,4.3,841.0,2.0,,,,,
39.4,69.2,2.7,0.57,25.63,3.8,959.0,2.0,,,,,
40.6,66.6,2.6,0.61,25.62,3.7,984.0,2.0,,,,,
39.0,70.1,2.4,0.56,29.21,4.8,1112.0,2.0,,,,,
57.2,80.6,2.5,0.71,32.24,5.5,981.0,3.0,,,,,
55.6,114.0,2.3,0.49,49.57,4.7,808.0,2.0,,,,,
56.9,123.0,2.7,0.46,45.56,5.2,799.0,2.0,,,,,
62.1,132.0,2.4,0.47,55.0,5.0,768.0,2.0,,,,,
29.1,94.0,2.6,0.31,36.15,3.2,760.0,1.0,,,,,
27.8,90.0,2.1,0.31,42.86,1.8,729.0,0.0,,,,,
55.6,114.0,2.3,0.49,49.57,4.7,808.0,2.0,,,,,
41.6,67.6,2.7,0.62,25.04,3.7,1048.0,2.0,,,,,
40.1,72.1,2.3,0.56,31.35,4.6,1074.0,2.0,,,,,
58.2,83.6,2.6,0.7,32.15,5.9,980.0,3.0,,,,,
56.8,112.0,2.2,0.51,50.91,5.2,839.0,2.0,,,,,
30.1,88.7,3.7,0.34,23.97,6.6,225.0,3.0,,,,,
18.8,171.5,6.3,0.11,27.22,7.0,375.0,0.0,,,,,
34.0,149.0,5.9,0.23,25.25,7.6,435.0,1.0,,,,,
38.2,53.0,3.9,0.72,13.59,1.6,250.0,0.0,,,,,
11.3,90.0,4.8,0.13,18.75,3.6,100.0,0.0,,,,,
92.0,263.0,10.7,0.35,24.58,8.0,300.0,1.0,,,,,
43.4,136.5,7.2,0.32,18.96,5.6,223.0,3.0,,,,,
62.4,235.0,9.5,0.27,24.74,9.0,330.0,3.0,,,,,
11.0,105.0,4.9,0.1,21.43,4.7,425.0,0.0,,,,,
90.0,170.0,11.3,0.53,15.04,9.0,200.0,2.0,,,,,
90.0,220.0,7.4,0.41,29.73,7.3,194.0,1.0,,,,,
55.4,176.0,7.3,0.32,24.11,9.3,300.0,2.0,,,,,
30.0,88.7,3.7,0.34,23.97,6.6,400.0,2.0,,,,,
25.7,59.7,1.3,0.43,45.9,1.7,362.0,0.0,,,,,
58.2,83.6,2.6,0.69,32.1,5.9,980.0,3.0,,,,,
3.8,20.0,3.0,0.19,6.67,1.39,700.0,0.0,,,,,
35.0,133.4,9.3,0.26,14.34,2.9,204.0,1.0,,,,,
43.62,78.1,3.2,0.56,24.41,6.0,1030.0,1.0,,,,,
157.3,91.23,6.92,0.58,13.18,6.27,203.0,3.0,,,,,
25.7,59.7,1.3,0.43,45.9,1.7,362.0,0.0,,,,,
40.4,72.1,2.1,0.56,34.3,1.9,775.0,1.0,,,,,
38.2,71.4,3.4,0.53,21.0,3.6,811.0,2.0,,,,,
45.7,69.1,3.2,0.66,21.5,4.1,816.0,2.0,,,,,
35.8,67.8,3.8,0.52,17.8,4.3,841.0,2.0,,,,,
39.4,69.2,2.7,0.57,25.6,3.8,959.0,2.0,,,,,
40.6,66.6,2.6,0.61,25.6,3.7,984.0,2.0,,,,,
39.0,70.1,2.4,0.56,29.2,4.8,1112.0,2.0,,,,,
57.2,80.6,2.5,0.71,32.2,5.5,981.0,3.0,,,,,
62.1,132.0,2.4,0.47,55.0,5.0,768.0,2.0,,,,,
29.7,116.0,2.7,0.26,42.9,3.7,764.0,1.0,,,,,
30.3,88.0,3.1,0.34,28.3,3.0,724.0,1.0,,,,,
41.6,67.6,2.7,0.61,25.0,3.7,1048.0,2.0,,,,,
40.1,72.1,2.3,0.55,31.3,4.6,1074.0,2.0,,,,,
58.2,83.6,2.6,0.69,32.1,5.9,980.0,3.0,,,,,
56.8,112.0,2.2,0.5,50.9,5.2,839.0,2.0,,,,,
90.0,170.0,11.3,0.53,15.04,9.0,200.0,2.0,,,,,
90.0,220.0,7.4,0.41,29.73,7.2,194.0,1.0,,,,,
30.0,88.7,3.7,0.34,23.97,6.6,400.0,2.0,,,,,
25.7,59.7,1.3,0.43,45.9,1.7,362.0,0.0,,,,,
58.2,83.6,2.6,0.69,32.1,5.9,980.0,3.0,,,,,
3.8,20.0,3.0,0.19,6.67,1.39,700.0,0.0,,,,,
35.0,133.4,9.3,0.26,14.34,2.9,204.0,1.0,,,,,
43.62,78.1,3.2,0.56,24.41,6.0,1030.0,1.0,,,,,
157.3,91.23,6.92,0.58,13.18,6.27,203.0,3.0,,,,,
70.3,128.52,8.73,0.547,11.4,6.43,1600.0,2.0,,,,,
55.4,176.0,7.3,0.32,24.11,9.3,300.0,1.0,,,,,
80.0,180.0,6.7,0.44,26.87,5.5,250.0,1.0,,,,,
89.0,236.0,8.3,0.38,28.43,5.0,890.0,2.0,,,,,
62.6,165.0,9.4,0.38,17.6,9.0,400.0,1.0,,,,,
98.6,120.0,6.5,0.82,18.5,3.8,150.0,2.0,,,,,
,,,0.53,15.04,4.486330798479087,200.0,2.0,0.88,,,,
,,,0.41,29.73,4.486330798479087,194.0,1.0,0.93,,,,
,,,0.38,17.53,4.486330798479087,400.0,1.0,0.89,,,,
,,,0.32,24.11,4.486330798479087,300.0,2.0,0.92,,,,
,,,0.34,23.97,4.486330798479087,400.0,2.0,0.92,,,,
,,,0.27,21.69,4.486330798479087,700.0,2.0,0.91,,,,
,,,0.44,26.87,4.486330798479087,250.0,1.0,0.93,,,,
,,,0.38,28.43,4.486330798479087,890.0,2.0,0.93,,,,
,,,0.82,18.46,4.486330798479087,150.0,2.0,0.9,,,,
,,,0.58,13.18,4.486330798479087,203.0,3.0,0.86,,,,
,,,0.45,17.53,4.486330798479087,827.0,1.0,0.89,,,,
,,,0.39,20.86,4.486330798479087,896.0,2.0,0.91,,,,
,,,0.28,28.9,4.486330798479087,1117.0,1.0,0.93,,,,
,,,0.2,36.04,4.486330798479087,1124.0,0.0,0.95,,,,
,,,0.19,47.93,4.486330798479087,1140.0,0.0,0.96,,,,
,,,0.66,13.2,4.486330798479087,983.0,3.0,0.86,,,,
,,,0.22,33.75,4.486330798479087,853.0,1.0,0.94,,,,
,,,0.11,14.71,4.486330798479087,644.0,2.0,0.87,,,,
,,,0.11,15.19,4.486330798479087,692.0,2.0,0.88,,,,
,,,0.1,14.28,4.486330798479087,970.0,3.0,0.87,,,,
,,,0.11,14.61,4.486330798479087,850.0,2.0,0.87,,,,
,,,0.14,9.54,4.486330798479087,174.0,0.0,0.81,,,,
,,,0.18,8.89,4.486330798479087,275.0,0.0,0.8,,,,
,,,0.11,9.85,4.486330798479087,187.0,0.0,0.82,,,,
,,,0.21,12.36,4.486330798479087,267.0,2.0,0.85,,,,
,,,0.21,11.58,4.486330798479087,215.0,0.0,0.84,,,,
,,,0.23,11.78,4.486330798479087,272.0,1.0,0.84,,,,
,,,0.23,14.23,4.486330798479087,644.0,1.0,0.87,,,,
,,,0.12,13.08,4.486330798479087,692.0,1.0,0.86,,,,
,,,0.19,14.54,4.486330798479087,970.0,3.0,0.87,,,,
,,,0.17,25.7,4.486330798479087,1107.0,1.0,0.93,,,,
,,,0.31,35.89,4.486330798479087,1205.0,2.0,0.95,,,,
,,,0.11,29.7,4.486330798479087,1184.0,0.0,0.93,,,,
,,,0.14,28.17,4.486330798479087,1373.0,0.0,0.93,,,,
,,,0.34,39.42,4.486330798479087,1689.0,1.0,0.95,,,,
,,,0.31,43.11,4.486330798479087,1606.0,2.0,0.95,,,,
,,,0.33,69.69,4.486330798479087,1220.0,1.0,0.97,,,,
,,,0.25,9.77,4.486330798479087,920.0,1.0,0.81,,,,
,,,0.22,14.7,4.486330798479087,785.0,2.0,0.87,,,,
,,,0.17,9.67,4.486330798479087,772.0,1.0,0.81,,,,
,,,0.22,12.95,4.486330798479087,644.0,2.0,0.86,,,,
,,,0.63,4.48,4.486330798479087,920.0,1.0,0.63,,,,
,,,0.44,8.98,4.486330798479087,1000.0,1.0,0.8,,,,
,,,0.9,6.84,4.486330798479087,1000.0,1.0,0.74,,,,
,,,0.56,9.5,4.486330798479087,1000.0,1.0,0.81,,,,
,,,0.7,12.05,4.486330798479087,1000.0,1.0,0.85,,,,
,,,0.4,16.04,4.486330798479087,1000.0,1.0,0.88,,,,
,,,0.44,13.13,4.486330798479087,1000.0,1.0,0.86,,,,
,,,0.58,24.4,4.486330798479087,750.0,2.0,0.92,,,,
,,,0.13,6.67,4.486330798479087,750.0,0.0,0.74,,,,
,,,0.37,24.0,4.486330798479087,750.0,1.0,0.92,,,,
,,,0.45,11.2,4.486330798479087,750.0,1.0,0.84,,,,
,,,0.64,24.4,4.486330798479087,700.0,2.0,0.92,,,,
,,,0.19,6.67,4.486330798479087,700.0,0.0,0.74,,,,
,,,0.48,24.0,4.486330798479087,700.0,2.0,0.92,,,,
,,,0.65,11.2,4.486330798479087,700.0,2.0,0.84,,,,
,,,0.74,24.4,4.486330798479087,600.0,3.0,0.92,,,,
,,,0.23,6.67,4.486330798479087,600.0,0.0,0.74,,,,
,,,0.61,24.0,4.486330798479087,600.0,2.0,0.92,,,,
,,,1.0,11.2,4.486330798479087,600.0,3.0,0.84,,,,
,,,0.28,9.68,4.486330798479087,510.0,0.0,0.81,,,,
,,,0.63,10.7,4.486330798479087,510.0,3.0,0.83,,,,
,,,0.7,11.7,4.486330798479087,510.0,2.0,0.84,,,,
,,,0.48,10.1,4.486330798479087,510.0,0.0,0.82,,,,
,,,0.34,23.97,4.486330798479087,225.0,3.0,0.92,,,,
,,,0.11,27.22,4.486330798479087,375.0,0.0,0.93,,,,
,,,0.23,25.25,4.486330798479087,435.0,1.0,0.92,,,,
,,,0.72,13.59,4.486330798479087,250.0,0.0,0.86,,,,
,,,0.13,18.75,4.486330798479087,100.0,0.0,0.9,,,,
,,,0.35,24.58,4.486330798479087,300.0,1.0,0.92,,,,
,,,0.27,24.74,4.486330798479087,330.0,3.0,0.92,,,,
,,,0.32,18.96,4.486330798479087,223.0,3.0,0.9,,,,
,,,0.1,21.43,4.486330798479087,425.0,0.0,0.91,,,,
,,,0.26,14.34,4.486330798479087,204.0,1.0,0.87,,,,
,,,0.23,7.66,4.486330798479087,428.0,0.0,0.77,,,,
,,,0.29,7.39,4.486330798479087,510.0,0.0,0.76,,,,
,,,0.23,10.75,4.486330798479087,460.0,0.0,0.83,,,,
,,,0.6,8.09,4.486330798479087,580.0,0.0,0.78,,,,
,,,0.23,16.95,4.486330798479087,460.0,0.0,0.89,,,,
,,,0.34,11.77,4.486330798479087,530.0,0.0,0.84,,,,
,,,0.49,12.4,4.486330798479087,569.0,1.0,0.85,,,,
,,,0.77,11.46,4.486330798479087,650.0,1.0,0.84,,,,
,,,0.21,15.32,4.486330798479087,515.0,1.0,0.88,,,,
,,,0.7,13.24,4.486330798479087,650.0,2.0,0.86,,,,
,,,0.29,9.73,4.486330798479087,520.0,1.0,0.81,,,,
,,,0.43,8.83,4.486330798479087,550.0,2.0,0.8,,,,
,,,0.88,11.0,4.486330798479087,630.0,1.0,0.83,,,,
,,,0.44,19.33,4.486330798479087,560.0,3.0,0.9,,,,
,,,0.86,13.34,4.486330798479087,670.0,3.0,0.86,,,,
,,,0.62,12.06,4.486330798479087,570.0,1.0,0.85,,,,
,,,0.64,17.51,4.486330798479087,600.0,3.0,0.89,,,,
,,,0.79,12.61,4.486330798479087,682.0,1.0,0.85,,,,
,,,0.59,17.38,4.486330798479087,682.0,1.0,0.89,,,,
,,,0.48,16.99,4.486330798479087,682.0,3.0,0.89,,,,
,,,0.33,14.61,4.486330798479087,682.0,1.0,0.87,,,,
,,,0.8,15.01,4.486330798479087,490.0,3.0,0.88,,,,
,,,0.86,17.91,4.486330798479087,590.0,3.0,0.89,,,,
,,,0.75,12.12,4.486330798479087,595.0,3.0,0.85,,,,
,,,0.66,12.12,4.486330798479087,784.0,3.0,0.85,,,,
,,,0.88,10.61,4.486330798479087,858.0,3.0,0.83,,,,
,,,0.8,11.04,4.486330798479087,951.0,3.0,0.83,,,,
,,,0.96,10.87,4.486330798479087,1170.0,3.0,0.83,,,,
,,,0.23,24.83,4.486330798479087,240.0,0.0,0.92,,,,
,,,0.29,23.17,4.486330798479087,437.0,0.0,0.92,,,,
,,,0.4,24.8,4.486330798479087,490.0,1.0,0.92,,,,
,,,0.67,24.51,4.486330798479087,720.0,2.0,0.92,,,,
,,,0.5,24.8,4.486330798479087,620.0,1.0,0.92,,,,
,,,0.46,24.51,4.486330798479087,470.0,1.0,0.92,,,,
,,,0.26,24.51,4.486330798479087,220.0,0.0,0.92,,,,
,,,0.55,5.53,4.486330798479087,720.0,2.0,0.69,,,,
,,,0.78,11.53,4.486330798479087,720.0,2.0,0.84,,,,
,,,0.48,13.59,4.486330798479087,720.0,2.0,0.86,,,,
,,,0.52,6.3,4.486330798479087,720.0,2.0,0.73,,,,
,,,0.78,5.53,4.486330798479087,780.0,2.0,0.69,,,,
,,,1.1,11.53,4.486330798479087,780.0,2.0,0.84,,,,
,,,0.68,13.59,4.486330798479087,780.0,2.0,0.86,,,,
,,,0.74,6.3,4.486330798479087,780.0,2.0,0.73,,,,
,,,0.89,5.53,4.486330798479087,840.0,3.0,0.69,,,,
,,,1.26,11.53,4.486330798479087,840.0,3.0,0.84,,,,
,,,0.78,13.59,4.486330798479087,840.0,3.0,0.86,,,,
,,,0.84,6.3,4.486330798479087,840.0,3.0,0.73,,,,
,,,2.61,5.53,4.486330798479087,900.0,3.0,0.69,,,,
,,,3.69,11.53,4.486330798479087,900.0,3.0,0.84,,,,
,,,2.27,13.59,4.486330798479087,900.0,3.0,0.86,,,,
,,,2.47,6.3,4.486330798479087,900.0,3.0,0.73,,,,
,,,3.18,5.53,4.486330798479087,960.0,3.0,0.69,,,,
,,,4.49,11.53,4.486330798479087,960.0,3.0,0.84,,,,
,,,2.77,13.59,4.486330798479087,960.0,3.0,0.86,,,,
,,,3.0,6.3,4.486330798479087,960.0,3.0,0.73,,,,
,,,3.45,5.53,4.486330798479087,1020.0,3.0,0.69,,,,
,,,4.87,11.53,4.486330798479087,1020.0,3.0,0.84,,,,
,,,3.0,13.59,4.486330798479087,1020.0,3.0,0.86,,,,
,,,3.26,6.3,4.486330798479087,1020.0,3.0,0.73,,,,
,,,1.05,8.26,4.486330798479087,805.0,0.0,0.78,,,,
,,,0.98,11.51,4.486330798479087,795.0,2.0,0.84,,,,
,,,0.51,8.06,4.486330798479087,635.0,2.0,0.78,,,,
,,,0.58,9.89,4.486330798479087,762.0,2.0,0.82,,,,
,,,0.34,13.43,4.486330798479087,851.0,2.0,0.86,,,,
,,,0.47,7.58,4.486330798479087,843.0,3.0,0.77,,,,
,,,0.24,14.56,4.486330798479087,722.0,3.0,0.87,,,,
,,,0.81,16.71,4.486330798479087,900.0,1.0,0.89,,,,
,,,0.56,24.41,4.486330798479087,1030.0,1.0,0.92,,,,
,,,0.59,22.94,4.486330798479087,1032.0,2.0,0.92,,,,
,,,0.54,17.53,4.486330798479087,900.0,2.0,0.89,,,,
,,,0.43,45.9,4.486330798479087,362.0,0.0,0.96,,,,
,,,0.42,29.9,4.486330798479087,374.0,1.0,0.94,,,,
,,,0.56,34.3,4.486330798479087,775.0,1.0,0.94,,,,
,,,0.6,28.3,4.486330798479087,799.0,2.0,0.93,,,,
,,,0.53,21.0,4.486330798479087,811.0,2.0,0.91,,,,
,,,0.66,21.5,4.486330798479087,816.0,2.0,0.91,,,,
,,,0.52,17.8,4.486330798479087,841.0,2.0,0.89,,,,
,,,0.57,25.6,4.486330798479087,959.0,2.0,0.92,,,,
,,,0.61,25.6,4.486330798479087,984.0,2.0,0.92,,,,
,,,0.56,29.2,4.486330798479087,1112.0,2.0,0.93,,,,
,,,0.71,32.2,4.486330798479087,981.0,3.0,0.94,,,,
,,,0.49,49.5,4.486330798479087,808.0,2.0,0.96,,,,
,,,0.46,45.5,4.486330798479087,799.0,2.0,0.96,,,,
,,,0.47,55.0,4.486330798479087,768.0,2.0,0.96,,,,
,,,0.26,42.9,4.486330798479087,764.0,1.0,0.95,,,,
,,,0.31,36.1,4.486330798479087,760.0,1.0,0.95,,,,
,,,0.31,42.8,4.486330798479087,729.0,0.0,0.95,,,,
,,,0.34,28.3,4.486330798479087,724.0,1.0,0.93,,,,
,,,0.49,49.5,4.486330798479087,808.0,2.0,0.96,,,,
,,,0.61,25.0,4.486330798479087,1048.0,2.0,0.92,,,,
,,,0.55,31.3,4.486330798479087,1074.0,2.0,0.94,,,,
,,,0.69,32.1,4.486330798479087,980.0,3.0,0.94,,,,
,,,0.5,50.9,4.486330798479087,839.0,2.0,0.96,,,,
,,,0.81,16.71,4.486330798479087,900.0,1.0,0.89,,,,
,,,0.85,8.2,4.486330798479087,610.0,1.0,0.78,,,,
,,,1.27,12.5,4.486330798479087,1010.0,2.0,0.85,,,,
,,,0.27,14.43,4.486330798479087,400.0,3.0,0.87,,,,
,,,0.3,31.58,4.486330798479087,400.0,1.0,0.94,,,,
,,,0.36,20.5,4.486330798479087,290.0,2.0,0.91,,,,
,,,0.4,5.38,4.486330798479087,380.0,0.0,0.69,,,,
,,,0.65,10.11,4.486330798479087,660.0,1.0,0.82,,,,
,,,0.53,18.01,4.486330798479087,660.0,2.0,0.89,,,,
,,,0.85,11.28,4.486330798479087,660.0,0.0,0.84,,,,
,,,0.58,10.11,4.486330798479087,630.0,1.0,0.82,,,,
,,,0.62,10.11,4.486330798479087,630.0,1.0,0.82,,,,
,,,0.69,10.11,4.486330798479087,630.0,1.0,0.82,,,,
,,,0.71,10.11,4.486330798479087,630.0,1.0,0.82,,,,
,,,0.47,18.01,4.486330798479087,630.0,2.0,0.89,,,,
,,,0.51,18.01,4.486330798479087,630.0,2.0,0.89,,,,
,,,0.56,18.01,4.486330798479087,630.0,2.0,0.89,,,,
,,,0.58,18.01,4.486330798479087,630.0,2.0,0.89,,,,
,,,0.76,11.28,4.486330798479087,630.0,0.0,0.84,,,,
,,,0.81,11.28,4.486330798479087,630.0,0.0,0.84,,,,
,,,0.91,11.28,4.486330798479087,630.0,0.0,0.84,,,,
,,,0.93,11.28,4.486330798479087,630.0,0.0,0.84,,,,
,,,0.14,23.61,4.486330798479087,463.0,0.0,0.92,,,,
,,,0.2,25.12,4.486330798479087,731.0,1.0,0.92,,,,
,,,0.28,25.64,4.486330798479087,1456.0,1.0,0.92,,,,
,,,0.39,22.18,4.486330798479087,1735.0,1.0,0.91,,,,
,,,0.44,24.38,4.486330798479087,2372.0,1.0,0.92,,,,
,,,0.36,24.38,4.486330798479087,1765.0,1.0,0.92,,,,
,,,0.27,24.38,4.486330798479087,1878.0,1.0,0.92,,,,
,,,0.22,25.0,4.486330798479087,630.0,1.0,0.92,,,,
,,,0.18,23.83,4.486330798479087,630.0,0.0,0.92,,,,
,,,0.38,2.52,4.486330798479087,440.0,1.0,0.43,,,,
,,,0.4,80.0,4.486330798479087,275.0,2.0,0.98,,,,
,,,0.45,73.33,4.486330798479087,275.0,2.0,0.97,,,,
,,,0.55,76.67,4.486330798479087,275.0,2.0,0.97,,,,
,,,0.17,78.69,4.486330798479087,369.0,2.0,0.97,,,,
,,,0.2,65.45,4.486330798479087,369.0,2.0,0.97,,,,
,,,0.2,64.23,4.486330798479087,373.0,2.0,0.97,,,,
,,,0.2,66.75,4.486330798479087,373.0,2.0,0.97,,,,
,,,0.21,61.79,4.486330798479087,374.0,2.0,0.97,,,,
,,,0.18,73.0,4.486330798479087,374.0,2.0,0.97,,,,
,,,0.67,11.16,4.486330798479087,365.0,1.0,0.84,,,,
,,,0.67,21.2,4.486330798479087,365.0,1.0,0.91,,,,
,,,0.67,21.2,4.486330798479087,700.0,1.0,0.88,,,,
,,,0.46,16.2,4.486330798479087,700.0,1.0,0.92,,,,
,,,0.6,25.51,4.486330798479087,700.0,1.0,0.89,,,,
,,,,,4.486330798479087,710.0,3.0,,5.968,4.694,,
,,,,,4.486330798479087,710.0,2.0,,5.841,4.622,,
,,,,,4.486330798479087,710.0,2.0,,4.754,4.397,,
,,,,,4.486330798479087,710.0,2.0,,5.295,4.703,,
,,,,,4.486330798479087,710.0,2.0,,5.322,4.238,,
,,,,,4.486330798479087,710.0,2.0,,4.818,4.266,,
,,,,,4.486330798479087,710.0,2.0,,4.944,4.598,,
,,,,,4.486330798479087,710.0,2.0,,5.602,4.779,,
,,,,,4.486330798479087,710.0,2.0,,5.865,4.263,,
,,,,,4.486330798479087,710.0,2.0,,5.589,4.589,,
,,,,,4.486330798479087,710.0,2.0,,5.926,4.141,,
,,,,,4.486330798479087,710.0,2.0,,5.621,4.62,,
,,,,,4.486330798479087,710.0,2.0,,4.912,4.565,,
,,,,,4.486330798479087,710.0,1.0,,4.834,4.116,,
,,,,,4.486330798479087,710.0,1.0,,4.614,4.611,,
,,,,,4.486330798479087,710.0,1.0,,4.53,4.557,,
,,,,,4.486330798479087,710.0,1.0,,4.61,3.732,,
,,,,,4.486330798479087,710.0,1.0,,4.446,4.37,,
,,,,,4.486330798479087,710.0,1.0,,4.595,3.708,,
,,,,,4.486330798479087,710.0,1.0,,4.381,4.132,,
,,,,,4.486330798479087,710.0,1.0,,4.408,4.428,,
,,,,,4.486330798479087,710.0,1.0,,4.443,4.291,,
,,,,,4.486330798479087,710.0,3.0,,6.419,4.995,,
,,,,,4.486330798479087,710.0,3.0,,7.094,4.975,,
,,,,,4.486330798479087,710.0,3.0,,6.373,5.168,,
,,,,,4.486330798479087,710.0,3.0,,5.859,4.895,,
,,,,,4.486330798479087,710.0,3.0,,6.576,5.081,,
,,,,,4.486330798479087,710.0,3.0,,6.587,5.152,,
,,,,,4.486330798479087,710.0,2.0,,5.982,4.453,,
,,,,,4.486330798479087,710.0,2.0,,5.008,4.627,,
,,,,,4.486330798479087,710.0,2.0,,4.966,4.154,,
,,,,,4.486330798479087,710.0,2.0,,4.748,4.66,,
,,,,,4.486330798479087,710.0,2.0,,5.593,4.809,,
,,,,,4.486330798479087,710.0,2.0,,5.724,4.251,,
,,,,,4.486330798479087,710.0,2.0,,5.219,4.552,,
,,,,,4.486330798479087,710.0,1.0,,4.029,4.944,,
,,,,,4.486330798479087,710.0,3.0,,6.147,5.152,,
,,,,,4.486330798479087,710.0,3.0,,5.459,4.865,,
,,,,,4.486330798479087,710.0,2.0,,3.543,4.732,,
,,,,,4.486330798479087,710.0,2.0,,5.06,4.438,,
,,,,,4.486330798479087,710.0,2.0,,3.68,4.832,,
